poet_name,poet_slug,title,writing_slug,writing_type,language,categories,content
Bashir Badr,bashir-badr,Sample Writing 3,bashir-badr-writing-3,sher,urdu,Philosophy;Spirituality,"This is development content for Bashir Badr.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Jigar Moradabadi,jigar-moradabadi,Sample Writing 1,jigar-moradabadi-writing-1,shayari,urdu,Life;Philosophy,"This is development content for Jigar Moradabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Jigar Moradabadi,jigar-moradabadi,Sample Writing 2,jigar-moradabadi-writing-2,sher,urdu,Philosophy;Spirituality,"This is development content for Jigar Moradabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Jigar Moradabadi,jigar-moradabadi,Sample Writing 3,jigar-moradabadi-writing-3,ghazal,urdu,Spirituality;Motivation,"This is development content for Jigar Moradabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Nida Fazli,nida-fazli,Sample Writing 1,nida-fazli-writing-1,sher,urdu,Philosophy;Spirituality,"This is development content for Nida Fazli.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Nida Fazli,nida-fazli,Sample Writing 2,nida-fazli-writing-2,ghazal,urdu,Spirituality;Motivation,"This is development content for Nida Fazli.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Nida Fazli,nida-fazli,Sample Writing 3,nida-fazli-writing-3,nazm,urdu,Motivation;Revolution,"This is development content for Nida Fazli.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Momin Khan Momin,momin-khan-momin,Sample Writing 1,momin-khan-momin-writing-1,ghazal,urdu,Spirituality;Motivation,"This is development content for Momin Khan Momin.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Momin Khan Momin,momin-khan-momin,Sample Writing 2,momin-khan-momin-writing-2,nazm,urdu,Motivation;Revolution,"This is development content for Momin Khan Momin.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Momin Khan Momin,momin-khan-momin,Sample Writing 3,momin-khan-momin-writing-3,shayari,urdu,Revolution;Friendship,"This is development content for Momin Khan Momin.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Majrooh Sultanpuri,majrooh-sultanpuri,Sample Writing 1,majrooh-sultanpuri-writing-1,nazm,urdu,Motivation;Revolution,"This is development content for Majrooh Sultanpuri.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Majrooh Sultanpuri,majrooh-sultanpuri,Sample Writing 2,majrooh-sultanpuri-writing-2,shayari,urdu,Revolution;Friendship,"This is development content for Majrooh Sultanpuri.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Majrooh Sultanpuri,majrooh-sultanpuri,Sample Writing 3,majrooh-sultanpuri-writing-3,sher,urdu,Friendship;Love,"This is development content for Majrooh Sultanpuri.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Firaq Gorakhpuri,firaq-gorakhpuri,Sample Writing 1,firaq-gorakhpuri-writing-1,shayari,urdu,Revolution;Friendship,"This is development content for Firaq Gorakhpuri.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Firaq Gorakhpuri,firaq-gorakhpuri,Sample Writing 2,firaq-gorakhpuri-writing-2,sher,urdu,Friendship;Love,"This is development content for Firaq Gorakhpuri.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Firaq Gorakhpuri,firaq-gorakhpuri,Sample Writing 3,firaq-gorakhpuri-writing-3,ghazal,urdu,Love;Sadness,"This is development content for Firaq Gorakhpuri.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Josh Malihabadi,josh-malihabadi,Sample Writing 1,josh-malihabadi-writing-1,sher,urdu,Friendship;Love,"This is development content for Josh Malihabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Josh Malihabadi,josh-malihabadi,Sample Writing 2,josh-malihabadi-writing-2,ghazal,urdu,Love;Sadness,"This is development content for Josh Malihabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Josh Malihabadi,josh-malihabadi,Sample Writing 3,josh-malihabadi-writing-3,nazm,urdu,Sadness;Life,"This is development content for Josh Malihabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Akbar Allahabadi,akbar-allahabadi,Sample Writing 1,akbar-allahabadi-writing-1,ghazal,urdu,Love;Sadness,"This is development content for Akbar Allahabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Akbar Allahabadi,akbar-allahabadi,Sample Writing 2,akbar-allahabadi-writing-2,nazm,urdu,Sadness;Life,"This is development content for Akbar Allahabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Akbar Allahabadi,akbar-allahabadi,Sample Writing 3,akbar-allahabadi-writing-3,shayari,urdu,Life;Philosophy,"This is development content for Akbar Allahabadi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Sahir Ludhianvi,sahir-ludhianvi,Sample Writing 1,sahir-ludhianvi-writing-1,nazm,urdu,Sadness;Life,"This is development content for Sahir Ludhianvi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Sahir Ludhianvi,sahir-ludhianvi,Sample Writing 2,sahir-ludhianvi-writing-2,shayari,urdu,Life;Philosophy,"This is development content for Sahir Ludhianvi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Sahir Ludhianvi,sahir-ludhianvi,Sample Writing 3,sahir-ludhianvi-writing-3,sher,urdu,Philosophy;Spirituality,"This is development content for Sahir Ludhianvi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Kaifi Azmi,kaifi-azmi,Sample Writing 1,kaifi-azmi-writing-1,shayari,urdu,Life;Philosophy,"This is development content for Kaifi Azmi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Kaifi Azmi,kaifi-azmi,Sample Writing 2,kaifi-azmi-writing-2,sher,urdu,Philosophy;Spirituality,"This is development content for Kaifi Azmi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Kaifi Azmi,kaifi-azmi,Sample Writing 3,kaifi-azmi-writing-3,ghazal,urdu,Spirituality;Motivation,"This is development content for Kaifi Azmi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Dushyant Kumar,dushyant-kumar,Sample Writing 1,dushyant-kumar-writing-1,sher,urdu,Philosophy;Spirituality,"This is development content for Dushyant Kumar.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Dushyant Kumar,dushyant-kumar,Sample Writing 2,dushyant-kumar-writing-2,ghazal,urdu,Spirituality;Motivation,"This is development content for Dushyant Kumar.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Dushyant Kumar,dushyant-kumar,Sample Writing 3,dushyant-kumar-writing-3,nazm,urdu,Motivation;Revolution,"This is development content for Dushyant Kumar.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
Bekal Utsahi,bekal-utsahi,Sample Writing 1,bekal-utsahi-writing-1,ghazal,urdu,Spirituality;Motivation,"This is development content for Bekal Utsahi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 1."
Bekal Utsahi,bekal-utsahi,Sample Writing 2,bekal-utsahi-writing-2,nazm,urdu,Motivation;Revolution,"This is development content for Bekal Utsahi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 2."
Bekal Utsahi,bekal-utsahi,Sample Writing 3,bekal-utsahi-writing-3,shayari,urdu,Revolution;Friendship,"This is development content for Bekal Utsahi.

Couplet one for testing layout and search.

Couplet two for testing line breaks and poetry display.

Writing number 3."
